id,name_english,name_japanese,name_chinese,name_french,types,species,description,hp,attack,defense,special_attack,special_defense,speed,total_stats,height,weight,egg_groups,abilities,hidden_ability,gender_ratio,evolution_previous,evolution_next,sprite_url,thumbnail_url,hires_url,name_thai
89,Muk,ベトベトン,臭臭泥,Grotadmorv,Poison,Sludge Pokémon,"Because they scatter germs everywhere, they’ve long been targeted for extermination, leading to a steep decline in their population.",105,105,75,65,100,50,500,1.2 m,30 kg,Amorphous,"Stench, Sticky Hold",Poison Touch,50:50,"['88', 'Level 38']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/089.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/089.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/089.png,เบโตเบตอน
90,Shellder,シェルダー,大舌贝,Kokiyas,Water,Bivalve Pokémon,"Even when its shell is closed, its tongue still hangs out. If you give its tongue a good yank, the shock will cause Shellder to open its shell.",30,65,100,45,25,40,305,0.3 m,4 kg,Water 3,"Shell Armor, Skill Link",Overcoat,50:50,,91(use Water Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/090.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/090.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/090.png,เชลเดอร์
91,Cloyster,パルシェン,刺甲贝,Crustabri,"Water, Ice",Bivalve Pokémon,Slowpoke tails are its favorite food. It has even been known to come up on land to look for Slowpoke from time to time.,50,95,180,85,45,70,525,1.5 m,132.5 kg,Water 3,"Shell Armor, Skill Link",Overcoat,50:50,"['90', 'use Water Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/091.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/091.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/091.png,พารูเชน
92,Gastly,ゴース,鬼斯,Fantominus,"Ghost, Poison",Gas Pokémon,Poisonous gas comprises 95% of its body. It’s said that the remaining 5% is made up of the souls of those who died from the gas.,30,35,30,100,35,80,310,1.3 m,0.1 kg,Amorphous,Levitate,,50:50,,93(Level 25),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/092.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/092.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/092.png,โกสต์
93,Haunter,ゴースト,鬼斯通,Spectrum,"Ghost, Poison",Gas Pokémon,"It’s dangerous to go outside alone on nights when you’re feeling sad. Haunter will catch you, and you won’t be able to go back home.",45,50,45,115,55,95,405,1.6 m,0.1 kg,Amorphous,Levitate,,50:50,"['92', 'Level 25']",94(Trade),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/093.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/093.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/093.png,โกาซุโตะ
94,Gengar,ゲンガー,耿鬼,Ectoplasma,"Ghost, Poison",Shadow Pokémon,Even your home isn’t safe. Gengar will lurk in whatever dark corner of a room it can find and wait for its chance to catch its prey.,60,65,60,130,75,110,500,1.5 m,40.5 kg,Amorphous,Cursed Body,,50:50,"['93', 'Trade']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/094.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/094.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/094.png,เก็งกา
95,Onix,イワーク,大岩蛇,Onix,"Rock, Ground",Rock Snake Pokémon,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",35,45,160,30,45,70,385,8.8 m,210 kg,Mineral,"Rock Head, Sturdy",Weak Armor,50:50,,208(trade holding Metal Coat),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/095.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/095.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/095.png,อิวาร์ค
96,Drowzee,スリープ,催眠貘,Soporifik,Psychic,Hypnosis Pokémon,"It puts its prey to sleep and devours their dreams. It seems that bad dreams taste sour, so Drowzee doesn’t particularly like eating them.",60,48,45,43,90,42,328,1 m,32.4 kg,Human-Like,"Insomnia, Forewarn",Inner Focus,50:50,,97(Level 26),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/096.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/096.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/096.png,สลีป
97,Hypno,スリーパー,引梦貘人,Hypnomade,Psychic,Hypnosis Pokémon,There are some Hypno that assist doctors with patients who can’t sleep at night in hospitals.,85,73,70,73,115,67,483,1.6 m,75.6 kg,Human-Like,"Insomnia, Forewarn",Inner Focus,50:50,"['96', 'Level 26']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/097.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/097.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/097.png,สลีปเปอร์
98,Krabby,クラブ,大钳蟹,Krabby,Water,River Crab Pokémon,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",30,105,90,25,25,50,325,0.4 m,6.5 kg,Water 3,"Hyper Cutter, Shell Armor",Sheer Force,50:50,,99(Level 28),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/098.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/098.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/098.png,แครบ
99,Kingler,キングラー,巨钳蟹,Krabboss,Water,Pincer Pokémon,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",55,130,115,50,50,75,475,1.3 m,60 kg,Water 3,"Hyper Cutter, Shell Armor",Sheer Force,50:50,"['98', 'Level 28']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/099.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/099.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/099.png,คิงเกลอร์
100,Voltorb,ビリリダマ,霹雳电球,Voltorbe,Electric,Ball Pokémon,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,40,30,50,55,55,100,330,0.5 m,10.4 kg,Mineral,"Soundproof, Static",Aftermath,Genderless,,101(Level 30),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/100.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/100.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/100.png,บิริริดามา
101,Electrode,マルマイン,顽皮雷弹,Électrode,Electric,Ball Pokémon,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,60,50,70,80,80,150,490,1.2 m,66.6 kg,Mineral,"Soundproof, Static",Aftermath,Genderless,"['100', 'Level 30']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/101.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/101.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/101.png,มารูไมน์
102,Exeggcute,タマタマ,蛋蛋,Noeunoeuf,"Grass, Psychic",Egg Pokémon,"Although they are the same size as other Exeggcute, the ones produced in Alola are quite heavy. Their shells are packed full.",60,40,80,60,45,40,325,0.4 m,2.5 kg,Grass,Chlorophyll,Harvest,50:50,,103(use Leaf Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/102.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/102.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/102.png,ทามาทามา
103,Exeggutor,ナッシー,椰蛋树,Noadkoko,"Grass, Psychic",Coconut Pokémon,"Each of its three heads has its own thoughts. When they want to go in different directions, Exeggutor becomes unable to move.",95,95,85,125,75,55,530,2 m,120 kg,Grass,Chlorophyll,Harvest,50:50,"['102', 'use Leaf Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/103.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/103.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/103.png,นัชชี
104,Cubone,カラカラ,卡拉卡拉,Osselait,Ground,Lonely Pokémon,"It wears its mother’s skull on its head, so no one knows what its bare face looks like. However, it’s clear that it’s always crying.",50,50,95,40,50,35,320,0.4 m,6.5 kg,Monster,"Rock Head, Lightning Rod",Battle Armor,50:50,,105(Level 28),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/104.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/104.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/104.png,คาระคาระ
105,Marowak,ガラガラ,嘎啦嘎啦,Ossatueur,Ground,Bone Keeper Pokémon,They thump their bones rhythmically to communicate among themselves. There are nearly 50 different rhythmic patterns.,60,80,110,50,80,45,425,1 m,45 kg,Monster,"Rock Head, Lightning Rod",Battle Armor,50:50,"['104', 'Level 28']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/105.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/105.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/105.png,การะการะ
106,Hitmonlee,サワムラー,飞腿郎,Kicklee,Fighting,Kicking Pokémon,"Hitmonlee’s legs freely contract and stretch. Using these springlike legs, it bowls over foes with devastating kicks. After battle, it rubs down its legs and loosens the muscles to overcome fatigue.",50,120,53,35,110,87,455,1.5 m,49.8 kg,Human-Like,"Limber, Reckless",Unburden,100:0,"['236', 'Level 20, Attack > Defense']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/106.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/106.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/106.png,ซาวามูลาร์
107,Hitmonchan,エビワラー,快拳郎,Tygnon,Fighting,Punching Pokémon,Hitmonchan is said to possess the spirit of a boxer who had been working toward a world championship. This Pokémon has an indomitable spirit and will never give up in the face of adversity.,50,105,79,35,110,76,455,1.4 m,50.2 kg,Human-Like,"Keen Eye, Iron Fist",Inner Focus,100:0,"['236', 'Level 20, Attack < Defense']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/107.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/107.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/107.png,เอบิวาลาร์
108,Lickitung,ベロリンガ,大舌头,Excelangue,Normal,Licking Pokémon,"It licks filth clean with its tongue. Whatever it licks always stinks afterward, so whether it’s really clean is...questionable.",90,55,75,60,75,30,385,1.2 m,65.5 kg,Monster,"Own Tempo, Oblivious",Cloud Nine,50:50,,463(after Rollout learned),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/108.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/108.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/108.png,เบโรริงกา
109,Koffing,ドガース,瓦斯弹,Smogo,Poison,Poison Gas Pokémon,"Koffing embodies toxic substances. It mixes the toxins with raw garbage to set off a chemical reaction that results in a terribly powerful poison gas. The higher the temperature, the more gas is concocted by this Pokémon.",40,65,95,60,45,35,340,0.6 m,1 kg,Amorphous,Levitate,,50:50,,110(Level 35),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/109.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/109.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/109.png,โดกัซ
110,Weezing,マタドガス,双弹瓦斯,Smogogo,Poison,Poison Gas Pokémon,"Weezing alternately shrinks and inflates its twin bodies to mix together toxic gases inside. The more the gases are mixed, the more powerful the toxins become. The Pokémon also becomes more putrid.",65,90,120,85,70,60,490,1.2 m,9.5 kg,Amorphous,Levitate,,50:50,"['109', 'Level 35']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/110.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/110.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/110.png,มาตาโดกัซ
111,Rhyhorn,サイホーン,独角犀牛,Rhinocorne,"Ground, Rock",Spikes Pokémon,"Rhyhorn’s brain is very small. It is so dense, while on a run it forgets why it started running in the first place. It apparently remembers sometimes if it demolishes something.",80,85,95,30,30,25,345,1 m,115 kg,"Monster, Field","Lightning Rod, Rock Head",Reckless,50:50,,112(Level 42),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/111.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/111.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/111.png,ไซฮอร์น
112,Rhydon,サイドン,钻角犀兽,Rhinoféros,"Ground, Rock",Drill Pokémon,"Rhydon has a horn that serves as a drill. It is used for destroying rocks and boulders. This Pokémon occasionally rams into streams of magma, but the armor-like hide prevents it from feeling the heat.",105,130,120,45,45,40,485,1.9 m,120 kg,"Monster, Field","Lightning Rod, Rock Head",Reckless,50:50,"['111', 'Level 42']",464(trade holding Protector),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/112.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/112.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/112.png,ไซดอน
113,Chansey,ラッキー,吉利蛋,Leveinard,Normal,Egg Pokémon,"Because the eggs on their bellies have been overharvested by people in the past, the Chansey population remains very small.",250,5,5,35,105,50,450,1.1 m,34.6 kg,Fairy,"Natural Cure, Serene Grace",Healer,0:100,"['440', 'hold Oval Stone, Daytime']",242(high Friendship),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/113.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/113.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/113.png,ลัคกี้
114,Tangela,モンジャラ,蔓藤怪,Saquedeneu,Grass,Vine Pokémon,"Tangela’s vines snap off easily if they are grabbed. This happens without pain, allowing it to make a quick getaway. The lost vines are replaced by newly grown vines the very next day.",65,55,115,100,40,60,435,1 m,35 kg,Grass,"Chlorophyll, Leaf Guard",Regenerator,50:50,,465(after Ancient Power learned),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/114.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/114.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/114.png,โมะนจะระ
115,Kangaskhan,ガルーラ,袋兽,Kangourex,Normal,Parent Pokémon,You shouldn’t get close to the child when it’s playing outside its mother’s pouch. Its mother is always nearby watching over it.,105,95,80,40,80,90,490,2.2 m,80 kg,Monster,"Early Bird, Scrappy",Inner Focus,0:100,,,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/115.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/115.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/115.png,การูรา
116,Horsea,タッツー,墨海马,Hypotrempe,Water,Dragon Pokémon,"If Horsea senses danger, it will reflexively spray a dense black ink from its mouth and try to escape. This Pokémon swims by cleverly flapping the fin on its back.",30,40,70,70,25,60,295,0.4 m,8 kg,"Water 1, Dragon","Swift Swim, Sniper",Damp,50:50,,117(Level 32),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/116.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/116.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/116.png,ทัททู
117,Seadra,シードラ,海刺龙,Hypocéan,Water,Dragon Pokémon,"Seadra generates whirlpools by spinning its body. The whirlpools are strong enough to swallow even fishing boats. This Pokémon weakens prey with these currents, then swallows it whole.",55,65,95,95,45,85,440,1.2 m,25 kg,"Water 1, Dragon","Poison Point, Sniper",Damp,50:50,"['116', 'Level 32']",230(trade holding Dragon Scale),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/117.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/117.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/117.png,ซีดรา
118,Goldeen,トサキント,角金鱼,Poissirène,Water,Goldfish Pokémon,The way it swims along fluttering its dress-like fins has earned it the name “princess of the water.”,45,67,60,35,50,63,320,0.6 m,15 kg,Water 2,"Swift Swim, Water Veil",Lightning Rod,50:50,,119(Level 33),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/118.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/118.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/118.png,โทซาคินโตะ
119,Seaking,アズマオウ,金鱼王,Poissoroy,Water,Goldfish Pokémon,"To attract females, males dance on the river’s floor. The females gather around the male that dances most gracefully.",80,92,65,65,80,68,450,1.3 m,39 kg,Water 2,"Swift Swim, Water Veil",Lightning Rod,50:50,"['118', 'Level 33']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/119.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/119.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/119.png,อซึมาโอ
120,Staryu,ヒトデマン,海星星,Stari,Water,Star Shape Pokémon,No number of injuries can bother Staryu. Its amazing regenerative powers return it to its previous state in half a day!,30,45,55,70,55,85,340,0.8 m,34.5 kg,Water 3,"Illuminate, Natural Cure",Analytic,Genderless,,121(use Water Stone),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/120.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/120.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/120.png,ฮิโตเดมัน
121,Starmie,スターミー,宝石海星,Staross,"Water, Psychic",Mysterious Pokémon,It rotates its geometrically shaped body to swim through the water. It always seems to be sending out mysterious radio waves.,60,75,85,100,85,115,520,1.1 m,80 kg,Water 3,"Illuminate, Natural Cure",Analytic,Genderless,"['120', 'use Water Stone']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/121.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/121.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/121.png,สตาร์มี
122,Mr. Mime,バリヤード,魔墙人偶,M. Mime,"Psychic, Fairy",Barrier Pokémon,"It creates invisible walls with its pantomiming. If you don’t act impressed, it will attack you with a double slap!",40,45,65,100,120,90,460,1.3 m,54.5 kg,Human-Like,"Soundproof, Filter",Technician,50:50,"['439', 'after Mimic learned']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/122.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/122.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/122.png,บาเรียด
123,Scyther,ストライク,飞天螳螂,Insécateur,"Bug, Flying",Mantis Pokémon,Some call it a ninja. Its movements— imperceptibly quick—are sufficient to cleave the air in two. It’s very popular in Alola.,70,110,80,55,80,105,500,1.5 m,56 kg,Bug,"Swarm, Technician",Steadfast,50:50,,212(trade holding Metal Coat),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/123.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/123.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/123.png,สไตรค์
124,Jynx,ルージュラ,迷唇姐,Lippoutou,"Ice, Psychic",Human Shape Pokémon,Its strange cries sound like human language. There are some musicians who compose songs for Jynx to sing.,65,50,35,115,95,95,455,1.4 m,40.6 kg,Human-Like,"Oblivious, Forewarn",Dry Skin,0:100,"['238', 'Level 30']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/124.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/124.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/124.png,รูจูรา
125,Electabuzz,エレブー,电击兽,Élektek,Electric,Electric Pokémon,"While it’s often blamed for power outages, the truth is the cause of outages is more often an error on the part of the electric company.",65,83,57,95,85,105,490,1.1 m,30 kg,Human-Like,Static,Vital Spirit,75:25,"['239', 'Level 30']",466(trade holding Electirizer),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/125.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/125.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/125.png,เอเลบู
126,Magmar,ブーバー,鸭嘴火兽,Magmar,Fire,Spitfire Pokémon,"The hotter the place, the better they feel. Magmar in Alola are said to be hardier than those in other areas.",65,95,57,100,85,93,495,1.3 m,44.5 kg,Human-Like,Flame Body,Vital Spirit,75:25,"['240', 'Level 30']",467(trade holding Magmarizer),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/126.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/126.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/126.png,บูเบอร์
127,Pinsir,カイロス,凯罗斯,Scarabrute,Bug,Stag Beetle Pokémon,"Although it’s tough, it can’t handle cold well. When night falls, it buries itself in leafage and sleeps.",65,125,100,55,70,85,500,1.5 m,55 kg,Bug,"Hyper Cutter, Mold Breaker",Moxie,50:50,,,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/127.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/127.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/127.png,ไคลอส
128,Tauros,ケンタロス,肯泰罗,Tauros,Normal,Wild Bull Pokémon,The climate seems to be related to the reason Tauros in Alola are a little calmer than those in other regions.,75,100,95,40,70,110,490,1.4 m,88.4 kg,Field,"Intimidate, Anger Point",Sheer Force,100:0,,,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/128.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/128.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/128.png,เคนเทารอส
129,Magikarp,コイキング,鲤鱼王,Magicarpe,Water,Fish Pokémon,"Thanks to their strong hold on life, dirty water doesn’t bother them at all. They live in waters all over the world!",20,10,55,15,20,80,200,0.9 m,10 kg,"Water 2, Dragon",Swift Swim,Rattled,50:50,,130(Level 20),https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/129.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/129.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/129.png,คอยคิง
130,Gyarados,ギャラドス,暴鲤龙,Léviator,"Water, Flying",Atrocious Pokémon,"The energy from evolution stimulated its brain cells strongly, causing it to become very ferocious.",95,125,79,60,100,81,540,6.5 m,235 kg,"Water 2, Dragon",Intimidate,Moxie,50:50,"['129', 'Level 20']",,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/130.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/130.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/130.png,เกียราดอส
131,Lapras,ラプラス,拉普拉斯,Lokhlass,"Water, Ice",Transport Pokémon,They’ve been so cherished that there’s now an overabundance. The fish Pokémon population has declined in waters with too many Lapras.,130,85,80,85,95,60,535,2.5 m,220 kg,"Monster, Water 1","Water Absorb, Shell Armor",Hydration,50:50,,,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/131.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/131.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/131.png,ลาพลาส
132,Ditto,メタモン,百变怪,Métamorph,Normal,Transform Pokémon,"It transforms into whatever it sees. If the thing it’s transforming into isn’t right in front of it, Ditto relies on its memory—so sometimes it fails.",48,48,48,48,48,48,288,0.3 m,4 kg,Ditto,Limber,Imposter,Genderless,,,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/132.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/132.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/132.png,เมตามอน
133,Eevee,イーブイ,伊布,Évoli,Normal,Evolution Pokémon,Its genes are easily influenced by its surroundings. Even its face starts to look like that of its Trainer.,55,55,50,45,65,55,325,0.3 m,6.5 kg,Field,"Run Away, Adaptability",Anticipation,87.5:12.5,,"134(use Water Stone), 135(use Thunder Stone), 136(use Fire Stone), 196(high Friendship, Daytime), 197(high Friendship, Nighttime), 470(level up near a Mossy Rock), 471(level up near an Icy Rock), 700(High Affection and knowing Fairy move)",https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/sprites/133.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/thumbnails/133.png,https://raw.githubusercontent.com/Purukitto/pokemon-data.json/master/images/pokedex/hires/133.png,อีวุย
